player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Tim Krul,20480,Brighton and Hove Albion,36,0,0,0,0,0,0,0,0.0
Timothy Fosu-Mensah,201084,Crystal Palace,31,1594,0,8,0,6,612,456,0.23
Toby Alderweireld,55605,Tottenham Hotspur,6,1177,0,10,0,3,915,785,0.4
Tom Carroll,93464,Swansea City,80,2569,0,20,4,47,1444,1193,0.94
Tom Cleverley,43250,Watford,57,1905,1,16,2,29,1137,936,1.88
Tom Davies,173807,Everton,11,1901,2,21,1,10,691,539,1.51
Tom Heaton,21205,Burnley,90,306,0,0,0,0,94,48,0.0
Tom Ince,86176,Huddersfield Town,38,2453,2,70,0,18,685,545,6.44
Tomer Hemed,38499,Brighton and Hove Albion,36,848,2,17,2,3,234,146,1.87
Tommy Smith,104545,Huddersfield Town,38,1908,0,8,1,15,792,560,0.19
Toni Martínez,178867,West Ham United,21,0,0,0,0,0,0,0,0.0
Tosin Adarabioyo,109646,Manchester City,43,0,0,0,0,0,0,0,0.0
Trent Alexander-Arnold,169187,Liverpool,14,1575,1,12,1,25,1007,778,0.95
Trevoh Chalobah,180736,Chelsea,8,0,0,0,0,0,0,0,0.0
Troy Deeney,41725,Watford,57,1841,5,36,2,26,542,307,7.18
Tyrese Campbell,200884,Stoke City,110,75,0,2,0,0,17,9,0.21
Tyrone Mings,149484,Bournemouth,91,202,0,1,0,1,113,88,0.01
Uwe Hünemeier,19071,Brighton and Hove Albion,36,17,0,0,0,0,4,1,0.0
Vicente Iborra,54513,Leicester City,13,1415,3,14,0,8,857,698,1.66
Victor Lindelöf,184667,Manchester United,1,1284,0,1,0,2,751,682,0.01
Victor Moses,49013,Chelsea,8,2118,3,35,3,20,833,638,3.04
Victor Wanyama,54756,Tottenham Hotspur,6,839,1,12,0,5,617,538,0.48
Vincent Janssen,165990,Tottenham Hotspur,6,1,0,0,0,0,0,0,0.0
Vincent Kompany,17476,Manchester City,43,1396,1,9,1,4,1429,1323,0.78
Virgil van Dijk,97032,Liverpool,14,2253,0,27,0,8,1770,1564,2.08
Wayne Hennessey,20066,Crystal Palace,31,2430,0,0,0,1,689,318,0.0
Wayne Rooney,13017,Everton,11,2282,10,45,2,34,1162,903,8.7
Wayne Routledge,11829,Swansea City,80,423,0,5,0,6,160,110,0.42
Wes Morgan,15033,Leicester City,13,2818,0,13,0,5,913,740,1.64
Wesley Hoedt,167075,Southampton,20,2520,0,15,1,9,1323,1044,1.33
Wilfred Ndidi,203341,Leicester City,13,2899,0,41,3,12,1684,1281,2.08
Wilfried Bony,57001,Swansea City,80,704,2,20,0,4,208,131,1.6
Wilfried Zaha,82403,Crystal Palace,31,2551,9,64,3,53,623,469,9.21
Will Hughes,108413,Watford,57,993,2,12,3,17,403,321,0.6
Willian,47431,Chelsea,8,1883,6,54,7,62,924,741,5.49
Willy Caballero,20310,Chelsea,8,270,0,0,0,0,88,61,0.0
Winston Reid,48717,West Ham United,21,1454,0,5,0,4,659,539,0.26
Xherdan Shaqiri,68312,Stoke City,110,3049,8,69,7,77,1055,839,4.99
Yannick Bolasie,55452,Everton,11,854,1,19,0,4,210,132,1.54
Yaya Touré,14664,Manchester City,43,228,0,5,2,7,416,390,0.37
Yohan Benalouane,41321,Leicester City,13,90,0,2,0,0,27,17,0.06
Yohan Cabaye,27341,Crystal Palace,31,2386,0,38,1,42,1293,1065,2.35
Younes Kaboul,37742,Watford,57,151,0,0,0,0,76,52,0.0
Zanka,48760,Huddersfield Town,38,3420,0,13,2,9,1561,1198,1.92
Zlatan Ibrahimovic,9808,Manchester United,1,102,0,4,0,2,76,58,0.21
Álvaro Morata,88482,Chelsea,8,2067,11,79,6,35,576,422,12.98
