Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,Matches,Season,nineties,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Lucas Torreira,uy URU,MF,22.0,34,24,2382.0,2.0,2.0,0.0,0.0,7.0,1.0,0.08,0.08,0.15,0.08,0.15,Matches,2018/2019,26.466666666666665,1.7,1.7,1.3,0.06,0.05,0.11,0.06,0.11
Mattéo Guendouzi,fr FRA,MF,19.0,33,23,2149.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018/2019,23.877777777777773,0.4,0.4,2.1,0.02,0.09,0.11,0.02,0.11
Alex Iwobi,ng NGA,"FW,MF",22.0,35,22,1970.0,3.0,6.0,0.0,0.0,0.0,0.0,0.14,0.27,0.41,0.14,0.41,Matches,2018/2019,21.88888888888889,3.2,3.2,5.5,0.15,0.25,0.4,0.15,0.4
Sead Kolašinac,ba BIH,DF,25.0,24,22,1887.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,2018/2019,20.966666666666665,0.5,0.5,5.5,0.02,0.26,0.28,0.02,0.28
Nacho Monreal,es ESP,DF,32.0,22,21,1861.0,1.0,3.0,0.0,0.0,5.0,0.0,0.05,0.15,0.19,0.05,0.19,Matches,2018/2019,20.677777777777774,1.3,1.3,1.3,0.06,0.06,0.13,0.06,0.13
Mesut Özil,de GER,"MF,FW",29.0,24,20,1735.0,5.0,2.0,0.0,0.0,2.0,0.0,0.26,0.1,0.36,0.26,0.36,Matches,2018/2019,19.277777777777782,1.6,1.6,5.6,0.08,0.29,0.37,0.08,0.37
Henrikh Mkhitaryan,am ARM,"FW,MF",29.0,25,19,1641.0,6.0,4.0,0.0,0.0,1.0,0.0,0.33,0.22,0.55,0.33,0.55,Matches,2018/2019,18.233333333333334,4.6,4.6,4.3,0.25,0.24,0.49,0.25,0.49
Héctor Bellerín,es ESP,DF,23.0,19,18,1533.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,2018/2019,17.033333333333335,0.9,0.9,2.1,0.05,0.12,0.18,0.05,0.18
Aaron Ramsey,wal WAL,"MF,FW",27.0,28,14,1331.0,4.0,6.0,0.0,0.0,0.0,0.0,0.27,0.41,0.68,0.27,0.68,Matches,2018/2019,14.788888888888891,3.2,3.2,2.4,0.22,0.16,0.38,0.22,0.38
Laurent Koscielny,fr FRA,DF,32.0,17,13,1331.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2018/2019,14.788888888888891,1.7,1.7,0.1,0.12,0.01,0.12,0.12,0.12
Squad Total,,,,38,418,3420.0,69.0,52.0,4.0,5.0,73.0,2.0,1.82,1.37,3.18,1.71,3.08,,2018/2019,38.0,57.1,53.1,44.0,1.5,1.16,2.66,1.4,2.56
Pierre-Emerick Aubameyang,ga GAB,FW,31.0,6,6,540.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches,2020/2021,,0.8,0.8,1.1,0.13,0.18,0.32,0.13,0.32
Héctor Bellerín,es ESP,DF,25.0,6,6,540.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,2020/2021,,0.1,0.1,0.4,0.01,0.07,0.08,0.01,0.08
Bernd Leno,de GER,GK,28.0,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Dos Santos,br BRA,DF,22.0,5,5,450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2020/2021,,0.3,0.3,0.0,0.05,0.0,0.05,0.05,0.05
Kieran Tierney,sco SCO,DF,23.0,5,5,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020/2021,,0.0,0.0,0.4,0.01,0.09,0.09,0.01,0.09
