Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1231.0,83.0,395.0,675.0,223.0,9.0,986.0,14.0,26.0,53.8,16.0,3.0,636.0,3313.0,1909.0,677.0,608.0,89.8,20.0,17.0
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,48.0,1.0,12.0,25.0,12.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,32.0,145.0,49.0,31.0,29.0,93.5,0.0,2.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,47.0,0.0,9.0,22.0,20.0,2.0,47.0,2.0,2.0,100.0,2.0,0.0,33.0,269.0,167.0,40.0,32.0,80.0,0.0,2.0
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,402.0,6.0,82.0,217.0,147.0,20.0,396.0,21.0,33.0,63.6,23.0,0.0,326.0,2597.0,1639.0,348.0,285.0,81.9,12.0,13.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717.0,92.0,445.0,294.0,15.0,7.0,700.0,1.0,2.0,50.0,1.0,0.0,453.0,2145.0,1080.0,477.0,469.0,98.3,3.0,5.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,572.0,2.0,21.0,210.0,383.0,154.0,551.0,27.0,45.0,60.0,28.0,2.0,428.0,2536.0,1404.0,780.0,450.0,57.7,24.0,41.0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,926.0,35.0,225.0,465.0,292.0,22.0,816.0,15.0,26.0,57.7,17.0,0.0,624.0,3148.0,1858.0,649.0,601.0,92.6,8.0,15.0
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,129.0,9.0,32.0,85.0,26.0,1.0,128.0,0.0,1.0,0.0,0.0,0.0,95.0,634.0,267.0,116.0,90.0,77.6,4.0,3.0
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,409.0,15.0,87.0,277.0,70.0,12.0,405.0,10.0,13.0,76.9,12.0,0.0,277.0,1465.0,733.0,306.0,269.0,87.9,13.0,10.0
