Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,74.0,78.0,94.9,1495.0,445.0,3.0,3.0,100.0,51.0,53.0,96.2,20.0,22.0,90.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,63.0,104.0,60.6,1201.0,337.0,0.0,7.0,0.0,50.0,74.0,67.6,13.0,23.0,56.5,0.0,0.3,-0.3,8.0,6.0,3.0,0.0,13.0
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1525.0,1738.0,87.7,31615.0,6295.0,25.0,44.0,56.8,1061.0,1180.0,89.9,439.0,514.0,85.4,1.0,1.6,-0.6,30.0,150.0,33.0,9.0,157.0
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1192.0,1308.0,91.1,27960.0,7114.0,5.0,9.0,55.6,733.0,778.0,94.2,454.0,521.0,87.1,0.0,0.2,-0.2,4.0,57.0,3.0,1.0,67.0
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,58.0,68.0,85.3,1005.0,206.0,2.0,3.0,66.7,46.0,53.0,86.8,10.0,12.0,83.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,725.0,934.0,77.6,12055.0,3505.0,21.0,63.0,33.3,596.0,720.0,82.8,108.0,151.0,71.5,4.0,3.1,0.9,26.0,49.0,33.0,6.0,94.0
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,495.0,795.0,62.3,6724.0,1423.0,24.0,57.0,42.1,434.0,661.0,65.7,37.0,77.0,48.1,1.0,1.5,-0.5,20.0,46.0,13.0,4.0,52.0
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,8.0,12.0,66.7,77.0,20.0,0.0,1.0,0.0,8.0,11.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,981.0,1239.0,79.2,17299.0,4174.0,28.0,68.0,41.2,756.0,901.0,83.9,197.0,270.0,73.0,1.0,1.1,-0.1,13.0,98.0,8.0,4.0,88.0
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,128.0,163.0,78.5,4227.0,2624.0,0.0,0.0,0.0,53.0,53.0,100.0,75.0,110.0,68.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,857.0,1204.0,71.2,15607.0,5438.0,28.0,62.0,45.2,652.0,833.0,78.3,177.0,309.0,57.3,2.0,2.1,-0.1,31.0,97.0,32.0,6.0,148.0
